timestamp,metric,value
2026-08-16T07:28:57.702369+00:00,crypto_market_cap,2251164042479.613
2026-08-16T07:28:57.702369+00:00,crypto_volume_24h,25682157229.82105
2026-08-16T07:28:57.702369+00:00,btc_dominance,56.16462137306822
2026-08-16T08:33:14.726289+00:00,crypto_market_cap,2251430717949.9106
2026-08-16T08:33:14.726289+00:00,crypto_volume_24h,30030404814.251926
2026-08-16T08:33:14.726289+00:00,btc_dominance,56.15667769874676
2026-08-16T09:52:12.178696+00:00,crypto_market_cap,2251203012936.526
2026-08-16T09:52:12.178696+00:00,crypto_volume_24h,30132579113.216434
2026-08-16T09:52:12.178696+00:00,btc_dominance,56.1450035537441
2026-08-16T11:00:42.552555+00:00,crypto_market_cap,2250104749296.0415
2026-08-16T11:00:42.552555+00:00,crypto_volume_24h,30272045208.174313
2026-08-16T11:00:42.552555+00:00,btc_dominance,56.14292760616916
2026-08-16T12:31:04.919447+00:00,crypto_market_cap,2250529305061.5093
2026-08-16T12:31:04.919447+00:00,crypto_volume_24h,29641275715.01324
2026-08-16T12:31:04.919447+00:00,btc_dominance,56.1408378318633
2026-08-16T13:45:14.806244+00:00,crypto_market_cap,2251919930099.6772
2026-08-16T13:45:14.806244+00:00,crypto_volume_24h,29228695451.91156
2026-08-16T13:45:14.806244+00:00,btc_dominance,56.14760022538683
2026-08-16T14:48:38.194174+00:00,crypto_market_cap,2253238045202.122
2026-08-16T14:48:38.194174+00:00,crypto_volume_24h,29140499260.994774
2026-08-16T14:48:38.194174+00:00,btc_dominance,56.14822405458454
2026-08-16T15:59:07.206589+00:00,crypto_market_cap,2254751604360.4487
2026-08-16T15:59:07.206589+00:00,crypto_volume_24h,28594580044.808105
2026-08-16T15:59:07.206589+00:00,btc_dominance,56.135413447356385
